hash_ins,hash_look,hash_del,arr_ins,arr_look,arr_clear
31.117992350,24.882964986,21.976708182,21.564925885,21.564935885,20.612198621
26.130359704,27.628029917,22.213134310,21.830802353,21.830814228,20.739056692
26.458907194,27.286719486,21.957036747,21.140982507,21.140991953,19.745763720
24.793461689,26.034046384,20.839801040,21.186308844,21.186317042,20.169484837
25.218269850,26.093794673,20.976921539,21.135094442,21.135101583,20.180819508
25.476154153,26.336988402,20.793260991,20.788075900,20.788084578,20.110094109
